"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"18.08.2023","102,4","100,9","103,2","100,9","1,01K","0,10%"
"17.08.2023","102,3","103,5","103,5","100,2","5,41K","0,59%"
"16.08.2023","101,7","104,4","104,4","98,6","10,51K","-2,59%"
"15.08.2023","104,4","104,3","105,8","101,3","6,05K","0,10%"
"14.08.2023","104,3","105,3","106,8","102,6","19,36K","-0,86%"
"11.08.2023","105,2","103,5","105,4","103,5","12,29K","0,19%"
"10.08.2023","105,0","103,0","105,0","102,6","5,32K","2,14%"
"09.08.2023","102,8","100,1","103,7","100,1","6,08K","2,09%"
"08.08.2023","100,7","102,7","102,7","99,5","23,30K","-1,95%"
"07.08.2023","102,7","104,6","104,6","102,0","16,56K","1,58%"
"04.08.2023","101,1","104,4","105,9","100,4","14,86K","-2,32%"
"03.08.2023","103,5","102,0","103,6","102,0","5,32K","0,78%"
"02.08.2023","102,7","101,2","103,1","101,1","3,69K","0,88%"
"01.08.2023","101,8","99,6","102,1","99,6","10,52K","2,11%"
"31.07.2023","99,7","100,0","100,0","98,7","4,30K","0,91%"
"28.07.2023","98,8","99,6","99,6","97,6","3,01K","0,71%"
"27.07.2023","98,1","98,1","98,1","96,7","3,23K","0,62%"
"26.07.2023","97,5","97,2","97,7","96,2","12,82K","0,72%"
"25.07.2023","96,8","97,2","97,2","95,8","4,44K","1,04%"
"24.07.2023","95,8","96,0","96,5","94,9","3,05K","0,10%"
"21.07.2023","95,7","94,6","95,7","93,9","24,18K","0,63%"
"20.07.2023","95,1","95,4","95,9","94,1","5,40K","-0,63%"
"19.07.2023","95,7","97,4","97,4","95,3","5,02K","-0,31%"
"18.07.2023","96,0","96,9","96,9","94,9","3,52K","0,52%"
"17.07.2023","95,5","93,7","95,5","93,7","4,35K","0,84%"
"14.07.2023","94,7","94,5","94,8","93,3","1,89K","0,74%"
"13.07.2023","94,0","93,7","95,0","93,5","3,49K","-0,74%"
"12.07.2023","94,7","92,5","94,7","92,4","5,62K","2,49%"
"11.07.2023","92,4","92,5","93,7","91,6","70,28K","-0,43%"
"10.07.2023","92,8","91,5","92,8","91,3","4,34K","1,42%"
"07.07.2023","91,5","90,7","91,6","90,6","1,04K","1,10%"
"06.07.2023","90,5","92,4","92,4","90,4","4,92K","-0,11%"
"05.07.2023","90,6","92,7","92,7","90,6","2,89K","-0,77%"
"04.07.2023","91,3","89,8","91,5","89,8","2,19K","0,55%"
"03.07.2023","90,8","90,0","91,5","90,0","5,60K","-0,55%"
"30.06.2023","91,3","90,8","91,4","89,6","7,43K","2,01%"
"29.06.2023","89,5","90,8","91,1","89,4","2,69K","-1,21%"
"28.06.2023","90,6","90,7","91,1","90,0","1,42K","-0,33%"
"27.06.2023","90,9","89,2","91,1","89,2","1,31K","0,44%"
"26.06.2023","90,5","89,0","91,4","89,0","5,57K","-1,09%"
"23.06.2023","91,5","91,0","92,5","90,8","4,80K","-0,87%"
"22.06.2023","92,3","90,7","92,4","90,7","7,67K","0,33%"
"21.06.2023","92,0","92,1","92,6","91,5","2,64K","0,00%"
"20.06.2023","92,0","92,2","92,5","91,1","4,47K","-0,22%"
"19.06.2023","92,2","93,9","93,9","91,6","8,46K","-0,11%"
"16.06.2023","92,3","92,2","92,8","92,0","7,13K","0,11%"
"15.06.2023","92,2","90,6","92,9","90,6","7,82K","0,22%"
"14.06.2023","92,0","93,8","93,8","91,2","4,21K","0,77%"
"13.06.2023","91,3","89,0","91,3","89,0","6,24K","1,67%"
"09.06.2023","89,8","90,2","90,3","89,5","2,35K","0,34%"
"08.06.2023","89,5","89,9","89,9","89,1","2,94K","0,67%"
"07.06.2023","88,9","88,3","89,6","88,3","3,15K","0,23%"
"06.06.2023","88,7","91,4","91,4","86,4","7,25K","-0,22%"
"05.06.2023","88,9","88,2","90,5","88,2","1,95K","-0,22%"
"02.06.2023","89,1","88,8","89,7","88,0","3,93K","0,11%"
"01.06.2023","89,0","88,9","89,4","88,6","3,69K","0,56%"
"31.05.2023","88,5","90,7","90,7","87,6","3,37K","0,45%"
"30.05.2023","88,1","88,3","89,7","88,0","2,18K","-0,34%"
"29.05.2023","88,4","87,9","89,0","87,6","2,38K","1,26%"
"26.05.2023","87,3","86,9","87,8","86,6","2,28K","0,58%"
"25.05.2023","86,8","85,3","86,8","85,3","3,13K","0,35%"
"24.05.2023","86,5","86,8","86,8","85,6","12,40K","1,05%"
"23.05.2023","85,6","86,9","86,9","85,0","6,95K","-0,23%"
"22.05.2023","85,8","84,7","86,7","84,7","3,84K","0,00%"
"19.05.2023","85,8","86,3","88,4","85,2","13,59K","-0,46%"
"18.05.2023","86,2","86,9","87,7","86,2","2,34K","-0,12%"
"17.05.2023","86,3","86,9","86,9","86,2","1,26K","-0,58%"
"16.05.2023","86,8","85,2","87,2","85,2","4,16K","2,00%"
"15.05.2023","85,1","85,4","86,2","84,4","1,63K","0,24%"
"12.05.2023","84,9","84,1","85,7","83,8","0,66K","-0,24%"
"11.05.2023","85,1","85,5","85,9","81,8","2,02K","2,53%"
"10.05.2023","83,0","81,4","83,8","80,7","1,53K","1,59%"
"08.05.2023","81,7","79,5","82,1","79,4","1,66K","1,24%"
"05.05.2023","80,7","82,0","83,0","79,2","1,88K","-0,86%"
"04.05.2023","81,4","79,6","82,2","79,6","1,23K","-0,25%"
"03.05.2023","81,6","82,6","83,3","80,7","2,79K","-1,09%"
"02.05.2023","82,5","84,9","84,9","82,4","2,55K","-1,43%"
"28.04.2023","83,7","83,7","85,5","82,9","3,01K","-1,53%"
"27.04.2023","85,0","84,3","85,0","83,8","1,27K","0,59%"
"26.04.2023","84,5","84,0","85,0","84,0","1,72K","0,12%"
"25.04.2023","84,4","83,3","85,3","83,3","4,37K","-0,47%"
"24.04.2023","84,8","86,9","86,9","82,6","7,60K","-0,47%"
"21.04.2023","85,2","85,1","85,2","84,2","2,31K","1,19%"
"20.04.2023","84,2","84,2","84,3","82,5","3,57K","0,00%"
"19.04.2023","84,2","83,6","84,8","83,2","4,87K","0,48%"
"18.04.2023","83,8","81,9","84,5","81,9","3,81K","0,36%"
"17.04.2023","83,5","81,9","84,0","81,9","9,51K","1,95%"
"14.04.2023","81,9","81,9","82,6","81,1","4,43K","0,00%"
"13.04.2023","81,9","82,0","82,6","81,5","3,47K","0,37%"
"12.04.2023","81,6","83,7","83,7","80,9","5,88K","0,49%"
"11.04.2023","81,2","81,4","83,2","80,6","4,76K","-0,12%"
"10.04.2023","81,3","82,2","82,4","80,9","2,80K","0,49%"
"07.04.2023","80,9","80,2","81,5","80,2","1,19K","-0,49%"
"06.04.2023","81,3","80,1","82,0","80,1","13,20K","1,12%"
"05.04.2023","80,4","82,7","82,7","79,8","15,86K","-0,62%"
"04.04.2023","80,9","77,6","81,8","77,6","2,45K","1,00%"
"03.04.2023","80,1","77,1","80,5","77,1","1,80K","1,14%"
"31.03.2023","79,2","79,7","79,7","78,2","1,25K","-0,13%"
"30.03.2023","79,3","80,5","80,5","78,8","2,80K","-0,63%"
"29.03.2023","79,8","79,2","80,0","78,8","1,72K","1,01%"
"28.03.2023","79,0","78,9","79,3","78,5","1,61K","0,64%"
"27.03.2023","78,5","78,0","79,0","77,4","1,71K","1,29%"
"24.03.2023","77,5","77,4","77,7","76,8","1,41K","0,26%"
"23.03.2023","77,3","78,4","78,4","76,7","2,75K","0,00%"
"22.03.2023","77,3","79,0","79,0","76,7","1,46K","-1,28%"
"21.03.2023","78,3","77,5","78,6","77,0","6,74K","1,69%"
"20.03.2023","77,0","76,8","77,1","76,0","1,74K","1,05%"
"17.03.2023","76,2","75,5","76,3","74,8","2,69K","1,33%"
"16.03.2023","75,2","75,9","75,9","74,2","2,14K","-0,40%"
"15.03.2023","75,5","76,6","76,6","74,5","1,91K","-1,05%"
"14.03.2023","76,3","76,1","76,4","75,1","4,81K","0,26%"
"13.03.2023","76,1","77,7","77,7","75,6","1,14K","-0,52%"
"10.03.2023","76,5","74,9","76,9","74,9","1,25K","-0,52%"
"09.03.2023","76,9","74,5","77,2","74,5","0,89K","-0,13%"
"07.03.2023","77,0","74,5","77,2","74,5","1,37K","0,79%"
"06.03.2023","76,4","73,8","77,1","73,8","1,19K","0,66%"
"03.03.2023","75,9","74,5","76,1","74,5","1,20K","1,74%"
"02.03.2023","74,6","76,4","76,7","74,5","2,74K","-2,10%"
"01.03.2023","76,2","77,3","77,3","75,4","0,96K","1,33%"
"28.02.2023","75,2","73,2","75,8","73,2","2,29K","0,67%"
"27.02.2023","74,7","72,4","75,0","72,4","3,42K","1,49%"
"24.02.2023","73,6","75,2","75,2","73,2","1,83K","-0,54%"
"22.02.2023","74,0","73,7","74,0","73,0","1,71K","1,09%"
"21.02.2023","73,2","72,8","74,8","72,6","6,01K","0,97%"
"20.02.2023","72,5","71,4","72,6","71,2","3,00K","1,12%"
"17.02.2023","71,7","73,6","73,6","71,3","1,27K","-0,69%"
"16.02.2023","72,2","72,5","73,3","71,8","3,42K","0,14%"
"15.02.2023","72,1","74,3","74,3","72,0","1,24K","-3,09%"
"14.02.2023","74,4","76,6","76,6","74,0","2,60K","-2,11%"
"13.02.2023","76,0","75,6","76,4","75,2","2,87K","1,20%"
"10.02.2023","75,1","75,5","75,7","74,7","2,20K","-1,05%"
"09.02.2023","75,9","75,0","76,0","74,5","0,95K","1,07%"
"08.02.2023","75,1","75,4","76,7","74,7","6,21K","-1,44%"
"07.02.2023","76,2","76,1","76,8","75,5","2,40K","0,79%"
